school_name,Address,postal_code,mrt_desc,bus_desc,dgp_code,zone_code,City,State,latitude,longitude
WEST GROVE PRIMARY SCHOOL,1    JURONG WEST ST 72,649223,Boon Lay MRT,"Bus 99, 242",JURONG WEST,WEST,Singapore,Singapore,1.344712118,103.6989642
WEST SPRING PRIMARY SCHOOL,60   Bukit Panjang Ring Road,679946,Jelapang LRT,"920, 922",BUKIT PANJANG,WEST,Singapore,Singapore,1.389434143,103.7661934
WEST SPRING SECONDARY SCHOOL,61   SENJA  ROAD,677737,"JELAPANG LRT, SENJA LRT","920, 972",BUKIT PANJANG,WEST,Singapore,Singapore,1.387756485,103.7602045
WEST VIEW PRIMARY SCHOOL,31   SENJA ROAD,677742,"Bukit Panjang MRT, SENJA LRT (A13)","170,171,176,178,180,000,000,000,000,000",BUKIT PANJANG,WEST,Singapore,Singapore,1.383785465,103.7602734
WESTWOOD PRIMARY SCHOOL,1    Jurong West Street 73,649188,Boon Lay MRT Station,"181, 502 & 243",JURONG WEST,WEST,Singapore,Singapore,1.347154625,103.7005267
WESTWOOD SECONDARY SCHOOL,11   JURONG WEST STREET 25,648350,BOON LAY MRT,"172, 181, 181M, 185, 199, 405, 974",JURONG WEST,WEST,Singapore,Singapore,1.353526135,103.7016043
WHITE SANDS PRIMARY SCHOOL,2    PASIR RIS ST 11,519075,Pasir Ris MRT Station,"12, 17, 21, 39, 53, 81, 518, 109",PASIR RIS,EAST,Singapore,Singapore,1.365517813,103.9609482
WHITLEY SECONDARY SCHOOL,30   BISHAN STREET 24,579747,"BISHAN MRT, MARYMOUNT MRT","13, 52, 54, 74, 74E, 88, 162, 162M,  588, 410, 851, 852",BISHAN,SOUTH,Singapore,Singapore,1.355494624,103.8425639
WOODGROVE PRIMARY SCHOOL,2    WOODLANDS DRIVE 14,738079,Woodlands MRT Station,901,WOODLANDS,NORTH,Singapore,Singapore,1.43305806,103.7903896
WOODGROVE SECONDARY SCHOOL,3    WOODLANDS AVENUE 6,738990,"WOODLANDS MRT, WOODLANDS SOUTH MRT","900, 901",WOODLANDS,NORTH,Singapore,Singapore,1.428628315,103.796304
WOODLANDS PRIMARY SCHOOL,10   WOODLANDS DRIVE 50,738853,Woodlands,912 & 912E,WOODLANDS,NORTH,Singapore,Singapore,1.436746383,103.7917717
WOODLANDS RING PRIMARY SCHOOL,11   WOODLANDS RING ROAD,738240,Admiralty MRT Station,912,WOODLANDS,NORTH,Singapore,Singapore,1.434952292,103.7974357
WOODLANDS RING SECONDARY SCHOOL,10   WOODLANDS RING ROAD,738239,ADMIRALTY MRT,912,WOODLANDS,NORTH,Singapore,Singapore,1.436113678,103.8005205
WOODLANDS SECONDARY SCHOOL,11   MARSILING ROAD,739111,"MARSILING MRT, WOODLANDS MRT","913, 913M,913T, 178, 856, 903",WOODLANDS,NORTH,Singapore,Singapore,1.439183317,103.7744988
XINGHUA PRIMARY SCHOOL,45   HOUGANG AVENUE 1,538882,Kovan MRT Station,"Bus services 53, 62, 112, 113, 115",HOUGANG,SOUTH,Singapore,Singapore,1.357996538,103.8902164
XINGNAN PRIMARY SCHOOL,5    JURONG WEST STREET 91,649036,Pioneer MRT Station,Bus 99 & 241,JURONG WEST,WEST,Singapore,Singapore,1.342684876,103.687724
XINMIN PRIMARY SCHOOL,9    HOUGANG AVENUE 8,538784,Nil,"74, 147, 165, 112",HOUGANG,NORTH,Singapore,Singapore,1.371414726,103.8830391
XINMIN SECONDARY SCHOOL,11   HOUGANG AVENUE 8,538789,HOUGANG MRT,"25, 55, 70, 72, 73, 74, 88, 101, 103, 112, 132, 147, 156, 159, 161, 165, 315, 854",HOUGANG,NORTH,Singapore,Singapore,1.3726429,103.8830505
XISHAN PRIMARY SCHOOL,8    YISHUN STREET 21,768611,Yishun MRT Station,"SMRT 800,801 from Yishun Interchange",YISHUN,NORTH,Singapore,Singapore,1.433501455,103.8382893
YANGZHENG PRIMARY SCHOOL,15   SERANGOON AVENUE 3,556108,Serangoon Station,"58 & 105 (Outside the school, Serangoon Ave 3) 133 & 135(Serangoon Ave 2)",SERANGOON,SOUTH,Singapore,Singapore,1.348972024,103.8683625
YEW TEE PRIMARY SCHOOL,10   CHOA CHU KANG ST 64,689100,Yew Tee MRT Station,307,CHOA CHU KANG,WEST,Singapore,Singapore,1.396726035,103.751818
YIO CHU KANG PRIMARY SCHOOL,1    HOUGANG STREET 51,538720,Hougang MRT Station Yio Chu Kang MRT Station,"88,101,109,159,161 and 325",HOUGANG,NORTH,Singapore,Singapore,1.377822709,103.8855687
YIO CHU KANG SECONDARY SCHOOL,3063 ANG MO KIO AVENUE 5,569868,YIO CHU KANG MRT,"13, 45, 86, 138, 162, 269, 851, 852, 853",ANG MO KIO,SOUTH,Singapore,Singapore,1.378263353,103.8418094
YISHUN INNOVA JUNIOR COLLEGE,3    YISHUN RING ROAD,768675,"Yishun, Khatib","800, 812, 167, 169, 171, 980",YISHUN,NORTH,Singapore,Singapore,1.424618845,103.8296344
YISHUN PRIMARY SCHOOL,500  YISHUN RING ROAD,768679,Yishun,Translink Feeder Service 800 & 812,YISHUN,NORTH,Singapore,Singapore,1.433496399,103.8340274
YISHUN SECONDARY SCHOOL,4    YISHUN STREET 71,768516,"YISHUN MRT, KHATIB MRT","167,  169,  171,  800,  807, 811, 812,  856,  858,  859,  860,  969, 980",YISHUN,NORTH,Singapore,Singapore,1.428132012,103.8288148
YISHUN TOWN SECONDARY SCHOOL,6    YISHUN STREET 21,768610,YISHUN MRT,"39, 85, 171, 800, 803, 804, 806, 811, 812, 851, 852, 853, 853C, 854, 854E, 855, 856, 857, 859, 860",YISHUN,NORTH,Singapore,Singapore,1.432604239,103.8380117
YU NENG PRIMARY SCHOOL,56   BEDOK NORTH ST 3,469623,"Bedok MRT Station (East-West Line), Bedok Reservoir MRT STation (Downtown line)","14, 17, 18, 28, 66, 67, 69, 225",na,na,Singapore,Singapore,1.333903809,103.9320341
YUAN CHING SECONDARY SCHOOL,103  YUAN CHING ROAD,618654,LAKESIDE MRT,"98, 154, 154A, 180, 182, 187, 240, 240A, 246",JURONG WEST,WEST,Singapore,Singapore,1.341891871,103.7206308
YUHUA PRIMARY SCHOOL,158  JURONG EAST STREET 24,609558,"Jurong East, Bukit Batok","98,98A,187,333,502,507,NR5",JURONG EAST,WEST,Singapore,Singapore,1.342919818,103.7408611
YUHUA SECONDARY SCHOOL,35   JURONG WEST STREET 41,649406,LAKESIDE MRT,"49, 98, 99, 157, 185, 187, 198, 335, 502",JURONG WEST,WEST,Singapore,Singapore,1.347218449,103.7225815
YUMIN PRIMARY SCHOOL,3    TAMPINES STREET 21,529393,Tampines MRT Station,na,TAMPINES,EAST,Singapore,Singapore,1.351459603,103.9507161
YUSOF ISHAK SECONDARY SCHOOL,11   BUKIT BATOK STREET 25,658712,BUKIT BATOK MRT,"61, 66, 77, 106, 157, 174, 178, 506, 852, 963",BUKIT BATOK,WEST,Singapore,Singapore,1.342333778,103.7600131
YUYING SECONDARY SCHOOL,47   HOUGANG AVENUE 1,538884,"KOVAN MRT, SERANGOON MRT, HOUGANG MRT","25, 51, 53, 53M, 55, 62, 87, 113, 119, 151, 854",HOUGANG,SOUTH,Singapore,Singapore,1.356933603,103.8904576
ZHANGDE PRIMARY SCHOOL,51   Jalan Membina,169485,Tiong Bahru MRT Station,"16,33,63,123,195,605,851,14,65,147,167,196,197,961",BUKIT MERAH,SOUTH,Singapore,Singapore,1.284211539,103.8259519
ZHENGHUA PRIMARY SCHOOL,9    Fajar Road,679002,LRT: Fajar Station,"190, 184, 187, 700, 700A, 921",BUKIT PANJANG,WEST,Singapore,Singapore,1.379802361,103.7691708
ZHENGHUA SECONDARY SCHOOL,91   SENJA ROAD,677741,JELAPANG LRT,"920, 922, 976",BUKIT PANJANG,WEST,Singapore,Singapore,1.388197023,103.7652523
ZHONGHUA PRIMARY SCHOOL,12   SERANGOON AVENUE 4,556095,"Ang Mo Kio MRT, Bishan MRT, Serangoon MRT","Boundary Road: 22,24,53,105,156,315,853,501,502 Yio Chu Kang Road: 70,76,103,147,156,501,502",SERANGOON,SOUTH,Singapore,Singapore,1.360166735,103.8696959
ZHONGHUA SECONDARY SCHOOL,13   SERANGOON AVENUE 3,556123,SERANGOON MRT,"22, 43, 45, 53, 58, 70, 81, 82, 100, 101, 103, 105, 107, 109, 133, 135, 147, 153, 158, 315, 317, 853",SERANGOON,SOUTH,Singapore,Singapore,1.349097361,103.8698
